1,1,1,0
0,0,0,1
0.44933,0.9992,0.9996,0
0,0,0,1
0.2019,0.9984,0.9992,0
0,0,0,1
0.090718,0.99761,0.9988,0
0,0,0,1
0.040762,0.99681,0.9984,0
0,0,0,1
0.018316,0.99601,0.998,0
0,0,0,1
0.0082297,0.99522,0.9976,0
0,0,0,1
0.0036979,0.99442,0.99721,0
0,0,0,1
0.0016616,0.99363,0.99681,0
0,0,0,1
0.00074659,0.99283,0.99641,0
0,0,0,1
0.00033546,0.99204,0.99601,0
0,0,0,1
0.00015073,0.99125,0.99561,0
0,0,0,1
6.7729e-05,0.99046,0.99521,0
0,0,0,1
3.0432e-05,0.98966,0.99482,0
0,0,0,1
1.3674e-05,0.98887,0.99442,0
0,0,0,1
6.1442e-06,0.98808,0.99402,0
0,0,0,1
2.7608e-06,0.98729,0.99362,0
0,0,0,1
1.2405e-06,0.98651,0.99323,0
0,0,0,1
5.5739e-07,0.98572,0.99283,0
0,0,0,1
2.5045e-07,0.98493,0.99243,0
0,0,0,1
1.1254e-07,0.98414,0.99204,0
0,0,0,1
5.0565e-08,0.98336,0.99164,0
0,0,0,1
2.272e-08,0.98257,0.99124,0
0,0,0,1
1.0209e-08,0.98179,0.99085,0
0,0,0,1
4.5872e-09,0.981,0.99045,0
0,0,0,1
2.0612e-09,0.98022,0.99005,0
0,0,0,1
9.2614e-10,0.97944,0.98966,0
0,0,0,1
4.1614e-10,0.97865,0.98926,0
0,0,0,1
1.8698e-10,0.97787,0.98887,0
0,0,0,1
8.4017e-11,0.97709,0.98847,0
0,0,0,1
3.7751e-11,0.97631,0.98808,0
0,0,0,1
1.6963e-11,0.97553,0.98768,0
0,0,0,1
7.6219e-12,0.97475,0.98729,0
0,0,0,1
3.4247e-12,0.97397,0.98689,0
0,0,0,1
1.5388e-12,0.97319,0.9865,0
0,0,0,1
6.9144e-13,0.97242,0.9861,0
0,0,0,1
3.1068e-13,0.97164,0.98571,0
0,0,0,1
1.396e-13,0.97086,0.98532,0
0,0,0,1
6.2726e-14,0.97009,0.98492,0
0,0,0,1
2.8185e-14,0.96931,0.98453,0
0,0,0,1
1.2664e-14,0.96854,0.98414,0
0,0,0,1
5.6904e-15,0.96776,0.98374,0
0,0,0,1
2.5569e-15,0.96699,0.98335,0
0,0,0,1
1.1489e-15,0.96622,0.98296,0
0,0,0,1
5.1622e-16,0.96545,0.98256,0
0,0,0,1
2.3195e-16,0.96467,0.98217,0
0,0,0,1
1.0422e-16,0.9639,0.98178,0
0,0,0,1
4.683e-17,0.96313,0.98138,0
0,0,0,1
2.1042e-17,0.96236,0.98099,0
0,0,0,1
9.4549e-18,0.9616,0.9806,0
0,0,0,1
4.2484e-18,0.96083,0.98021,0
0,0,0,1
1.9089e-18,0.96006,0.97982,0
0,0,0,1
8.5773e-19,0.95929,0.97943,0
0,0,0,1
3.854e-19,0.95853,0.97903,0
0,0,0,1
1.7317e-19,0.95776,0.97864,0
0,0,0,1
7.7811e-20,0.957,0.97825,0
0,0,0,1
3.4963e-20,0.95623,0.97786,0
0,0,0,1
1.571e-20,0.95547,0.97747,0
0,0,0,1
7.0589e-21,0.9547,0.97708,0
0,0,0,1
3.1718e-21,0.95394,0.97669,0
0,0,0,1
1.4252e-21,0.95318,0.9763,0
0,0,0,1
6.4037e-22,0.95242,0.97591,0
0,0,0,1
2.8774e-22,0.95166,0.97552,0
0,0,0,1
1.2929e-22,0.9509,0.97513,0
0,0,0,1
5.8093e-23,0.95014,0.97474,0
0,0,0,1
2.6103e-23,0.94938,0.97435,0
0,0,0,1
1.1729e-23,0.94862,0.97396,0
0,0,0,1
5.2701e-24,0.94786,0.97357,0
0,0,0,1
2.368e-24,0.9471,0.97318,0
0,0,0,1
1.064e-24,0.94635,0.97279,0
0,0,0,1
4.7809e-25,0.94559,0.9724,0
0,0,0,1
2.1482e-25,0.94484,0.97201,0
0,0,0,1
9.6525e-26,0.94408,0.97162,0
0,0,0,1
4.3371e-26,0.94333,0.97124,0
0,0,0,1
1.9488e-26,0.94257,0.97085,0
0,0,0,1
8.7565e-27,0.94182,0.97046,0
0,0,0,1
3.9346e-27,0.94107,0.97007,0
0,0,0,1
1.7679e-27,0.94032,0.96968,0
0,0,0,1
7.9437e-28,0.93957,0.9693,0
0,0,0,1
3.5693e-28,0.93881,0.96891,0
0,0,0,1
1.6038e-28,0.93806,0.96852,0
0,0,0,1
7.2064e-29,0.93732,0.96813,0
0,0,0,1
3.238e-29,0.93657,0.96775,0
0,0,0,1
1.4549e-29,0.93582,0.96736,0
0,0,0,1
6.5375e-30,0.93507,0.96697,0
0,0,0,1
2.9375e-30,0.93432,0.96659,0
0,0,0,1
1.3199e-30,0.93358,0.9662,0
0,0,0,1
5.9307e-31,0.93283,0.96582,0
0,0,0,1
2.6648e-31,0.93209,0.96543,0
0,0,0,1
1.1974e-31,0.93134,0.96504,0
0,0,0,1
5.3802e-32,0.9306,0.96466,0
0,0,0,1
2.4175e-32,0.92985,0.96427,0
0,0,0,1
1.0862e-32,0.92911,0.96389,0
0,0,0,1
4.8808e-33,0.92837,0.9635,0
0,0,0,1
2.1931e-33,0.92763,0.96312,0
0,0,0,1
9.8542e-34,0.92689,0.96273,0
0,0,0,1
4.4278e-34,0.92615,0.96235,0
0,0,0,1
1.9895e-34,0.92541,0.96196,0
0,0,0,1
8.9395e-35,0.92467,0.96158,0
0,0,0,1
4.0168e-35,0.92393,0.96119,0
0,0,0,1
1.8049e-35,0.92319,0.96081,0
0,0,0,1
